Signal,Transition Reasons,Events,Whipsaws,Whipsaw %,Avg Transition Days,Median Transition Days,Avg Return +5d,Avg Return +20d,Avg Return +60d,Avg Return +120d,Avg Timing Score,Avg Outcome Score,Avg Timing Quality,Positive 20d %,Positive 60d %,Positive 120d %
VR >1.25,Donchian,6,0,0.0,,,0.041,0.0961,0.1014,0.1459,-0.057,0.0794,,100.0,75.0,100.0
VR >1.25,Donchian +3% Recovery,9,0,0.0,,,-0.058,0.1128,0.3344,0.7097,0.1098,0.1297,,88.89,88.89,100.0
VR >1.25,RVol > 18.00% | VR > 1.25,66,0,0.0,,,0.027,-0.0058,-0.0049,0.0912,0.04,0.0063,,45.45,46.67,81.67
VR >1.25,RVol > 36.00%,7,0,0.0,,,-0.0403,-0.1577,-0.1923,-0.3092,0.1559,-0.1301,,33.33,33.33,50.0
VR >1.25,RVol > 36.00% | VR > 1.40,7,0,0.0,,,-0.0538,-0.1076,-0.1814,-0.2007,0.0816,-0.1143,,33.33,66.67,66.67
VR >1.25,RVol > 36.00% | VR > 1.40 | Donchian,1,0,0.0,,,-0.024,-0.008,-0.0939,-0.0435,0.0163,-0.042,,0.0,0.0,0.0
VR >1.25,VR > 1.25,128,0,0.0,,,-0.0025,0.0322,0.0876,0.1418,0.0431,0.0387,,68.5,69.05,83.33
VR >1.25,VR > 1.40,34,0,0.0,,,0.01,0.0013,0.0371,0.0626,0.0076,0.0161,,50.0,72.73,72.73
VR >1.25,VR > 1.40 | Donchian,1,0,0.0,,,-0.0365,0.0138,0.0302,0.0513,0.0336,0.0025,,100.0,100.0,100.0
VR >1.25,VR > 1.40 | SPY Breakdown,1,0,0.0,,,-0.0422,-0.0499,-0.0307,0.0314,0.0908,-0.0409,,0.0,0.0,100.0
VR >1.25,VR > 1.40 | SPY Breakdown | Donchian,6,0,0.0,,,-0.0592,-0.0719,-0.0975,0.0153,0.0929,-0.0762,,0.0,0.0,75.0
